               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1085,            0.015376,             0.07645,            0.001857,                 0.1,           0.0013913,          0.00029708,            0.073786,            0.011145,            0.050984,              0.0982,              0.0002,              0.0002
                   1,              0.1049,            0.016396,            0.076195,           0.0017921,                 0.1,           0.0011483,          0.00022083,            0.070237,            0.011963,             0.05018,             0.09549,           0.0004901,           0.0004901
                   2,            0.098081,            0.019025,            0.073979,           0.0017559,                 0.1,           0.0010947,          0.00018728,            0.063979,            0.013447,            0.048976,            0.092768,          0.00076832,          0.00076832
                   3,             0.09407,            0.019061,             0.07142,           0.0032389,                 0.2,           0.0023861,          0.00041498,            0.057337,             0.01481,            0.047035,            0.090035,           0.0010347,           0.0010347
                   4,            0.084208,            0.025871,            0.066952,           0.0033201,                0.25,           0.0026625,          0.00036773,            0.053869,            0.015458,            0.045443,            0.087289,           0.0012891,           0.0012891
                   5,            0.078512,            0.022871,            0.065701,            0.004386,                0.35,           0.0041397,          0.00075037,            0.051737,            0.015757,            0.044508,            0.084532,           0.0015317,           0.0015317
                   6,            0.075655,            0.025084,            0.061874,           0.0088047,               0.675,           0.0084863,           0.0017222,            0.050019,            0.015868,            0.043199,            0.081762,           0.0017624,           0.0017624
                   7,            0.075666,            0.026619,             0.05867,            0.010996,                 0.9,            0.014548,           0.0036193,             0.04791,            0.016142,            0.042187,            0.078981,           0.0019812,           0.0019812
                   8,            0.076669,            0.023698,            0.058198,            0.012717,                   1,            0.051016,            0.017457,            0.046034,             0.01591,            0.039645,            0.076188,           0.0021882,           0.0021882
                   9,            0.069669,            0.025528,              0.0516,            0.012337,                   1,             0.10465,            0.024937,            0.045105,            0.015577,            0.037967,            0.073383,           0.0023832,           0.0023832
                  10,            0.072104,            0.023571,            0.052337,            0.011081,                   1,             0.46901,             0.12506,            0.045064,            0.014609,            0.034142,            0.070566,           0.0025664,           0.0025664
                  11,             0.06497,            0.029506,            0.044824,             0.12508,                   1,              0.4745,             0.10076,            0.043433,             0.01436,            0.031833,            0.067738,           0.0027377,           0.0027377
                  12,            0.063306,            0.026162,            0.043283,            0.053955,                0.25,            0.084489,             0.02647,            0.048186,            0.013078,            0.028741,            0.064897,           0.0028971,           0.0028971
                  13,            0.065859,            0.024465,            0.041361,             0.16053,               0.875,             0.27494,            0.098029,            0.041127,            0.013076,            0.027538,            0.062045,           0.0030447,           0.0030447
                  14,            0.063649,             0.02217,            0.039434,             0.14064,                   1,             0.22394,            0.076884,            0.042465,             0.01193,            0.026921,             0.05918,           0.0031803,           0.0031803
                  15,            0.061282,            0.018773,            0.038396,             0.20458,             0.81257,             0.29045,            0.069723,            0.046319,            0.011611,            0.027183,            0.056304,           0.0033041,           0.0033041
                  16,            0.060925,            0.020698,            0.037726,             0.13641,             0.85601,             0.14769,            0.043466,            0.049739,            0.011572,            0.026878,            0.053416,            0.003416,            0.003416
                  17,            0.062312,            0.018731,            0.036384,             0.38169,               0.575,             0.43045,             0.14704,            0.040584,             0.01201,            0.026066,            0.050516,            0.003516,            0.003516
                  18,            0.058951,            0.020439,            0.034362,             0.52729,                 0.8,             0.60494,             0.21574,            0.042935,            0.011839,            0.025667,            0.047604,           0.0036042,           0.0036042
                  19,            0.062709,            0.018102,            0.034426,             0.47693,                0.65,             0.55895,             0.27631,            0.040285,            0.011941,            0.025145,             0.04468,           0.0036804,           0.0036804
                  20,            0.058821,            0.017549,            0.034403,             0.44679,                 0.6,             0.50765,             0.10453,            0.049367,            0.011549,            0.024353,            0.041745,           0.0037448,           0.0037448
                  21,            0.063995,            0.017954,            0.033527,             0.45503,                 0.6,             0.57702,             0.29913,             0.04191,            0.011882,            0.023703,            0.038797,           0.0037973,           0.0037973
                  22,            0.060194,            0.019677,            0.033018,             0.46112,              0.8218,             0.65902,             0.21798,            0.041308,            0.011978,            0.023114,            0.035838,           0.0038379,           0.0038379
                  23,            0.052796,            0.018021,            0.031026,             0.34975,               0.575,             0.50019,             0.14055,            0.041106,            0.011653,            0.022814,            0.032867,           0.0038667,           0.0038667
                  24,            0.055176,            0.019607,            0.030515,             0.44292,             0.77189,             0.67234,             0.17651,              0.0356,             0.01192,            0.021884,            0.029884,           0.0038835,           0.0038835
                  25,            0.052765,            0.017715,            0.031255,             0.42006,              0.5926,             0.65224,             0.35529,            0.043351,            0.011367,            0.021439,            0.026888,           0.0038885,           0.0038885
                  26,             0.06162,             0.01868,            0.030734,             0.48094,             0.56843,             0.64726,             0.34645,            0.035597,            0.011653,            0.020817,            0.023882,           0.0038816,           0.0038816
                  27,            0.058675,            0.019231,            0.032749,             0.42238,               0.675,             0.67318,             0.30421,            0.030039,            0.011615,            0.020471,            0.020863,           0.0038628,           0.0038628
                  28,            0.048654,            0.016545,            0.030608,             0.42238,               0.675,             0.67318,             0.30421,            0.030039,            0.011615,            0.020471,            0.017832,           0.0038322,           0.0038322
                  29,            0.047433,            0.017791,            0.030011,             0.60384,             0.70551,              0.7467,             0.43784,            0.033256,            0.011177,            0.020114,             0.01479,           0.0037896,           0.0037896
                  30,            0.051701,            0.017199,            0.029308,             0.80638,                0.55,              0.6951,             0.30998,            0.031694,            0.011168,            0.019762,            0.011735,           0.0037352,           0.0037352
