               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12283,            0.024055,            0.080398,                   0,                   0,                   0,                   0,            0.065062,            0.019063,            0.052769,              0.0919,              0.0009,              0.0009
                   1,             0.10972,            0.023305,             0.07424,           0.0069444,               0.025,           0.0046569,          0.00046569,            0.060966,            0.018408,            0.050667,            0.082881,           0.0018812,           0.0018812
                   2,            0.096624,            0.023744,                0.07,           0.0034247,               0.025,           0.0018412,          0.00018412,             0.05624,            0.018548,            0.048429,            0.073843,           0.0028426,           0.0028426
                   3,             0.10685,            0.023654,             0.07557,            0.013935,                 0.1,            0.019802,           0.0025618,              0.0542,            0.017936,            0.046979,            0.064784,           0.0037842,           0.0037842
                   4,            0.084994,            0.025308,            0.060157,            0.034799,               0.325,            0.031811,           0.0072845,            0.044274,            0.018361,            0.042759,            0.055706,            0.004706,            0.004706
                   5,            0.080811,            0.022871,            0.060821,            0.025678,                0.45,             0.10011,            0.026071,            0.042116,            0.017566,            0.037524,            0.046608,           0.0056079,           0.0056079
                   6,            0.075715,            0.026223,            0.058057,            0.025678,                0.45,             0.10011,            0.026071,            0.042116,            0.017566,            0.037524,             0.03749,           0.0064901,           0.0064901
                   7,            0.085903,            0.023824,            0.060143,            0.051341,                 0.5,              0.1649,            0.042926,            0.044251,            0.016478,            0.034409,            0.028353,           0.0073525,           0.0073525
                   8,            0.086148,            0.020924,            0.058097,             0.05366,               0.225,            0.074483,            0.019156,            0.054624,            0.013904,            0.032002,            0.019195,           0.0081951,           0.0081951
                   9,            0.080619,            0.022621,            0.047952,            0.047785,                 0.2,            0.067546,            0.017754,            0.054624,            0.013904,            0.032002,            0.010018,           0.0090179,           0.0090179
                  10,             0.07719,            0.022094,            0.049288,            0.072627,               0.125,             0.09459,            0.021467,            0.054534,            0.013534,            0.029349,             0.00901,             0.00901,             0.00901
                  11,            0.083734,            0.023894,            0.048909,              0.1089,               0.325,            0.095741,            0.018629,            0.057081,            0.011136,            0.027226,             0.00901,             0.00901,             0.00901
                  12,            0.082374,            0.019885,            0.040368,              0.1089,               0.325,            0.095741,            0.018629,            0.057081,            0.011136,            0.027226,            0.008911,            0.008911,            0.008911
                  13,            0.084196,            0.021144,            0.048591,             0.19403,                 0.4,             0.17474,            0.032752,             0.05473,             0.01162,            0.026527,            0.008812,            0.008812,            0.008812
                  14,            0.081392,            0.021668,            0.050581,            0.056033,                0.15,            0.096078,            0.025308,             0.05688,           0.0096481,            0.024458,            0.008713,            0.008713,            0.008713
                  15,            0.081398,            0.015281,            0.039293,            0.056033,                0.15,            0.096078,            0.025308,             0.05688,           0.0096481,            0.024458,            0.008614,            0.008614,            0.008614
                  16,            0.079097,             0.01923,            0.036187,             0.12882,                 0.1,            0.090835,               0.019,            0.057905,           0.0097565,            0.023729,            0.008515,            0.008515,            0.008515
                  17,            0.077243,            0.017345,             0.03512,             0.12882,                 0.1,            0.090835,               0.019,            0.057905,           0.0097565,            0.023729,            0.008416,            0.008416,            0.008416
                  18,            0.078309,            0.019464,            0.036546,             0.12844,                 0.2,              0.1266,            0.024228,            0.055017,            0.010104,            0.023383,            0.008317,            0.008317,            0.008317
                  19,             0.07417,            0.020614,            0.036646,            0.051171,                0.35,            0.084108,            0.015998,            0.051726,            0.010168,            0.022308,            0.008218,            0.008218,            0.008218
                  20,            0.065623,            0.018662,             0.03462,            0.051171,                0.35,            0.084108,            0.015998,            0.051726,            0.010168,            0.022308,            0.008119,            0.008119,            0.008119
                  21,            0.075685,             0.02059,            0.036656,             0.12213,                0.35,             0.14777,            0.033443,            0.047565,            0.010458,             0.02155,             0.00802,             0.00802,             0.00802
                  22,            0.070376,            0.021388,            0.037785,             0.18752,             0.31523,             0.26905,             0.07362,            0.038246,             0.01257,            0.021098,            0.007921,            0.007921,            0.007921
                  23,            0.062367,            0.022912,            0.031836,             0.18752,             0.31523,             0.26905,             0.07362,            0.038246,             0.01257,            0.021098,            0.007822,            0.007822,            0.007822
                  24,            0.062318,            0.022839,            0.032323,            0.078053,               0.325,             0.11478,            0.034769,            0.035157,            0.012388,             0.02049,            0.007723,            0.007723,            0.007723
                  25,            0.053705,            0.020445,            0.029663,            0.078053,               0.325,             0.11478,            0.034769,            0.035157,            0.012388,             0.02049,            0.007624,            0.007624,            0.007624
                  26,            0.063653,            0.022926,            0.033184,             0.13788,               0.425,             0.22353,            0.063321,            0.033397,            0.011881,            0.020553,            0.007525,            0.007525,            0.007525
                  27,            0.059691,            0.023875,            0.035002,             0.12894,               0.325,             0.20435,             0.06243,            0.040412,            0.010042,            0.021095,            0.007426,            0.007426,            0.007426
